E:\selfdrive\IMG\center_2021_08_05_16_36_24_615.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_24_615.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_24_615.jpg,0,0,0,1.193284E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_24_680.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_24_680.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_24_680.jpg,0,0,0,5.228752E-07
E:\selfdrive\IMG\center_2021_08_05_16_36_24_747.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_24_747.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_24_747.jpg,0,0,0,4.264642E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_24_815.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_24_815.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_24_815.jpg,0,0,0,3.23212E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_24_883.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_24_883.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_24_883.jpg,0,0,0,9.517106E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_24_951.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_24_951.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_24_951.jpg,0,0,0,7.221011E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_018.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_018.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_018.jpg,0,0,0,2.357351E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_087.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_087.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_087.jpg,0,0,0,2.396602E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_154.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_154.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_154.jpg,0,0,0,6.896273E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_222.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_222.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_222.jpg,0,0,0,1.353843E-05
E:\selfdrive\IMG\center_2021_08_05_16_36_25_289.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_289.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_289.jpg,0,0,0,4.574073E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_358.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_358.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_358.jpg,0,0,0,5.557104E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_425.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_425.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_425.jpg,0,0,0,6.529714E-06
E:\selfdrive\IMG\center_2021_08_05_16_36_25_492.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_492.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_492.jpg,0,0,0,2.387834E-05
E:\selfdrive\IMG\center_2021_08_05_16_36_25_559.jpg,E:\selfdrive\IMG\left_2021_08_05_16_36_25_559.jpg,E:\selfdrive\IMG\right_2021_08_05_16_36_25_559.jpg,0,0,0,3.169073E-06
